candidate_id,rank,score,reasoning
CAND_0008425,19,0.6145,"Product-oriented AI engineer with 7.8 YoE, having shipped search/retrieval systems at Ola and Zomato. Currently based in Kolkata, West Bengal with a 90-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0066999,20,0.6128,"Product-oriented AI engineer with 5.9 YoE, having shipped search/retrieval systems at Microsoft and Amazon. Located in Delhi, Delhi but willing to relocate to Noida/Pune; has a 15-day notice period."
CAND_0068811,21,0.6128,"Product-oriented AI engineer with 8.0 YoE, having shipped search/retrieval systems at Freshworks and Yellow.ai. Based locally in Pune, Maharashtra with a 30-day notice period, matching the hybrid Cadence perfectly."
CAND_0006418,22,0.6118,"Product-oriented AI engineer with 5.7 YoE, having shipped search/retrieval systems at Verloop.io and Flipkart. Located in Gurgaon, Haryana but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0030031,23,0.6107,"Product-oriented AI engineer with 5.7 YoE, having shipped search/retrieval systems at Microsoft and Amazon. Currently based in Trivandrum, Kerala with a 30-day notice period; excellent engagement signals on the platform."
CAND_0064326,24,0.6087,"Product-oriented AI engineer with 7.6 YoE, having shipped search/retrieval systems at Sarvam AI and Aganitha. Currently based in Gurgaon, Haryana with a 45-day notice period; excellent engagement signals on the platform."
CAND_0061265,25,0.6045,"Product-oriented AI engineer with 6.6 YoE, having shipped search/retrieval systems at Zoho and Observe.AI. Currently based in Delhi, Delhi with a 120-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0028793,26,0.5995,"Product-oriented AI engineer with 7.2 YoE, having shipped search/retrieval systems at Google and Amazon. Located in Trivandrum, Kerala but willing to relocate to Noida/Pune; has a 120-day notice period. Note: notice period of 90 days requires buyout."
CAND_0062247,27,0.5992,"Product-oriented AI engineer with 7.3 YoE, having shipped search/retrieval systems at Google and Dream11. Located in Kochi, Kerala but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0072660,28,0.5979,"Product-oriented AI engineer with 7.1 YoE, having shipped search/retrieval systems at Unacademy and Adobe. Currently based in Berlin with a 30-day notice period; excellent engagement signals on the platform."
CAND_0049538,29,0.5975,"Product-oriented AI engineer with 5.8 YoE, having shipped search/retrieval systems at Saarthi.ai and PolicyBazaar. Currently based in Jaipur, Rajasthan with a 30-day notice period; excellent engagement signals on the platform."
CAND_0051292,30,0.597,"Product-oriented AI engineer with 5.2 YoE, having shipped search/retrieval systems at Freshworks and Vedantu. Currently based in Trivandrum, Kerala with a 30-day notice period; excellent engagement signals on the platform."
CAND_0041669,31,0.5965,"Product-oriented AI engineer with 8.0 YoE, having shipped search/retrieval systems at CRED and Mad Street Den. Based locally in Noida, Uttar Pradesh with a 60-day notice period, matching the hybrid Cadence perfectly."
CAND_0077285,32,0.5924,"Product-oriented AI engineer with 5.5 YoE, having shipped search/retrieval systems at Nykaa and Netflix. Currently based in Ahmedabad, Gujarat with a 60-day notice period; excellent engagement signals on the platform."
CAND_0026532,33,0.5914,"Product-oriented AI engineer with 4.8 YoE, having shipped search/retrieval systems at Zomato and Mad Street Den. Located in Chennai, Tamil Nadu but willing to relocate to Noida/Pune; has a 90-day notice period. Note: notice period of 90 days requires buyout."
CAND_0030953,34,0.5913,"Product-oriented AI engineer with 7.8 YoE, having shipped search/retrieval systems at Nykaa and Niramai. Currently based in Chennai, Tamil Nadu with a 45-day notice period; excellent engagement signals on the platform."
CAND_0050454,35,0.5901,"Product-oriented AI engineer with 6.8 YoE, having shipped search/retrieval systems at Rephrase.ai and Uber. Located in Delhi, Delhi but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0081053,36,0.5897,"Product-oriented AI engineer with 5.4 YoE, having shipped search/retrieval systems at Glance and Salesforce. Located in Chandigarh, Chandigarh but willing to relocate to Noida/Pune; has a 90-day notice period. Note: notice period of 90 days requires buyout."
CAND_0041610,37,0.589,"Product-oriented AI engineer with 6.7 YoE, having shipped search/retrieval systems at Zoho and Observe.AI. Located in Indore, Madhya Pradesh but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0029367,38,0.5888,"Product-oriented AI engineer with 5.7 YoE, having shipped search/retrieval systems at Rephrase.ai and CRED. Currently based in Bangalore, Karnataka with a 90-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0079387,39,0.5874,"Product-oriented AI engineer with 6.9 YoE, having shipped search/retrieval systems at Microsoft and upGrad. Currently based in Trivandrum, Kerala with a 30-day notice period; excellent engagement signals on the platform."
CAND_0033861,40,0.5851,"Product-oriented AI engineer with 8.0 YoE, having shipped search/retrieval systems at Mad Street Den and Sarvam AI. Currently based in Vizag, Andhra Pradesh with a 30-day notice period; excellent engagement signals on the platform."
CAND_0083307,41,0.5825,"Product-oriented AI engineer with 7.8 YoE, having shipped search/retrieval systems at CRED and Netflix. Currently based in Vizag, Andhra Pradesh with a 120-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0047721,42,0.582,"Product-oriented AI engineer with 7.0 YoE, having shipped search/retrieval systems at Microsoft and Observe.AI. Located in Coimbatore, Tamil Nadu but willing to relocate to Noida/Pune; has a 90-day notice period. Note: notice period of 90 days requires buyout."
CAND_0055905,43,0.58,"Product-oriented AI engineer with 8.1 YoE, having shipped search/retrieval systems at Flipkart and Uber. Currently based in London with a 30-day notice period; excellent engagement signals on the platform."
CAND_0015578,44,0.5799,"Product-oriented AI engineer with 5.4 YoE, having shipped search/retrieval systems at Zoho and Glance. Located in Delhi, Delhi but willing to relocate to Noida/Pune; has a 90-day notice period. Note: notice period of 90 days requires buyout."
CAND_0051630,45,0.5782,"Product-oriented AI engineer with 6.0 YoE, having shipped search/retrieval systems at Razorpay and InMobi. Currently based in Kolkata, West Bengal with a 90-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0066376,46,0.5752,"Product-oriented AI engineer with 5.7 YoE, having shipped search/retrieval systems at Dream11 and Salesforce. Currently based in Mumbai, Maharashtra with a 90-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0005649,47,0.5731,"Product-oriented AI engineer with 7.4 YoE, having shipped search/retrieval systems at Sarvam AI and Aganitha. Located in Delhi, Delhi but willing to relocate to Noida/Pune; has a 90-day notice period. Note: notice period of 90 days requires buyout."
CAND_0075574,48,0.5728,"Product-oriented AI engineer with 5.7 YoE, having shipped search/retrieval systems at Haptik and Observe.AI. Located in Bangalore, Karnataka but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0070202,49,0.5726,"Product-oriented AI engineer with 5.1 YoE, having shipped search/retrieval systems at BYJU'S and Dream11. Currently based in Jaipur, Rajasthan with a 90-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0096172,50,0.5721,"Product-oriented AI engineer with 5.2 YoE, having shipped search/retrieval systems at Krutrim and Dream11. Currently based in Chennai, Tamil Nadu with a 45-day notice period; excellent engagement signals on the platform."
CAND_0081686,51,0.5713,"Product-oriented AI engineer with 6.0 YoE, having shipped search/retrieval systems at Netflix and Niramai. Currently based in Austin with a 60-day notice period; excellent engagement signals on the platform."
CAND_0043228,52,0.5703,"Product-oriented AI engineer with 6.8 YoE, having shipped search/retrieval systems at Zoho and Vedantu. Currently based in Chennai, Tamil Nadu with a 30-day notice period; excellent engagement signals on the platform."
CAND_0039383,53,0.5684,"Product-oriented AI engineer with 7.1 YoE, having shipped search/retrieval systems at Meesho and Swiggy. Located in Gurgaon, Haryana but willing to relocate to Noida/Pune; has a 90-day notice period. Note: notice period of 90 days requires buyout."
CAND_0096142,54,0.565,"Product-oriented AI engineer with 5.0 YoE, having shipped search/retrieval systems at upGrad and BYJU'S. Currently based in Hyderabad, Telangana with a 120-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0078492,55,0.5643,"Product-oriented AI engineer with 5.1 YoE, having shipped search/retrieval systems at Verloop.io and Adobe. Located in Kochi, Kerala but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0018549,56,0.5618,"Product-oriented AI engineer with 6.8 YoE, having shipped search/retrieval systems at Uber and Flipkart. Located in Coimbatore, Tamil Nadu but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0037980,57,0.5617,"Product-oriented AI engineer with 9.0 YoE, having shipped search/retrieval systems at Niramai and Verloop.io. Located in Kolkata, West Bengal but willing to relocate to Noida/Pune; has a immediate availability."
CAND_0006557,58,0.561,"Product-oriented AI engineer with 7.9 YoE, having shipped search/retrieval systems at Paytm and Apple. Located in Jaipur, Rajasthan but willing to relocate to Noida/Pune; has a 120-day notice period. Note: notice period of 90 days requires buyout."
CAND_0061257,59,0.5608,"Product-oriented AI engineer with 8.0 YoE, having shipped search/retrieval systems at LinkedIn and Yellow.ai. Based locally in Noida, Uttar Pradesh with a 30-day notice period, matching the hybrid Cadence perfectly."
CAND_0007412,60,0.5603,"Product-oriented AI engineer with 7.4 YoE, having shipped search/retrieval systems at Zoho and Locobuzz. Based locally in Noida, Uttar Pradesh with a 120-day notice period, matching the hybrid Cadence perfectly. Note: notice period of 90 days requires buyout."
CAND_0014440,61,0.5591,"Product-oriented AI engineer with 6.4 YoE, having shipped search/retrieval systems at CRED and Freshworks. Currently based in Chennai, Tamil Nadu with a 60-day notice period; excellent engagement signals on the platform."
CAND_0094056,62,0.559,"Product-oriented AI engineer with 5.9 YoE, having shipped search/retrieval systems at Rephrase.ai and Adobe. Located in Chennai, Tamil Nadu but willing to relocate to Noida/Pune; has a 120-day notice period. Note: notice period of 90 days requires buyout."
CAND_0093912,63,0.5582,"Product-oriented AI engineer with 5.3 YoE, having shipped search/retrieval systems at Razorpay and Flipkart. Currently based in Chandigarh, Chandigarh with a 30-day notice period; excellent engagement signals on the platform."
CAND_0045250,64,0.558,"Product-oriented AI engineer with 6.6 YoE, having shipped search/retrieval systems at Rephrase.ai and Paytm. Currently based in Delhi, Delhi with a 15-day notice period; excellent engagement signals on the platform."
CAND_0040117,65,0.5577,"Product-oriented AI engineer with 6.5 YoE, having shipped search/retrieval systems at PhonePe and Salesforce. Currently based in Vizag, Andhra Pradesh with a 15-day notice period; excellent engagement signals on the platform."
CAND_0052328,66,0.5577,"Product-oriented AI engineer with 6.5 YoE, having shipped search/retrieval systems at Amazon and Observe.AI. Based locally in Pune, Maharashtra with a 30-day notice period, matching the hybrid Cadence perfectly."
CAND_0030468,67,0.5571,"Product-oriented AI engineer with 5.4 YoE, having shipped search/retrieval systems at Swiggy and CRED. Located in Indore, Madhya Pradesh but willing to relocate to Noida/Pune; has a 45-day notice period."
CAND_0087630,68,0.5571,"Product-oriented AI engineer with 7.2 YoE, having shipped search/retrieval systems at Vedantu and Haptik. Located in Gurgaon, Haryana but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0057563,69,0.5561,"Product-oriented AI engineer with 6.8 YoE, having shipped search/retrieval systems at Locobuzz and Yellow.ai. Located in Indore, Madhya Pradesh but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0027801,70,0.5554,"Product-oriented AI engineer with 7.4 YoE, having shipped search/retrieval systems at InMobi and Zoho. Currently based in Hyderabad, Telangana with a 120-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0036437,71,0.555,"Product-oriented AI engineer with 4.8 YoE, having shipped search/retrieval systems at Rephrase.ai and Nykaa. Located in Kolkata, West Bengal but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0000031,72,0.5546,"Product-oriented AI engineer with 6.0 YoE, having shipped search/retrieval systems at Swiggy and Mad Street Den. Located in Hyderabad, Telangana but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0061655,73,0.5546,"Product-oriented AI engineer with 4.6 YoE, having shipped search/retrieval systems at Krutrim and Google. Currently based in Jaipur, Rajasthan with a 15-day notice period; excellent engagement signals on the platform."
CAND_0086151,74,0.5546,"Product-oriented AI engineer with 7.7 YoE, having shipped search/retrieval systems at Wysa and Glance. Located in Vizag, Andhra Pradesh but willing to relocate to Noida/Pune; has a 120-day notice period. Note: notice period of 90 days requires buyout."
CAND_0091909,75,0.5545,"Product-oriented AI engineer with 6.9 YoE, having shipped search/retrieval systems at Rephrase.ai and Meta. Located in Bangalore, Karnataka but willing to relocate to Noida/Pune; has a 45-day notice period."
CAND_0060054,76,0.5521,"Product-oriented AI engineer with 6.4 YoE, having shipped search/retrieval systems at Mad Street Den and Zomato. Located in Jaipur, Rajasthan but willing to relocate to Noida/Pune; has a 15-day notice period."
CAND_0058688,77,0.5503,"Product-oriented AI engineer with 6.7 YoE, having shipped search/retrieval systems at Vedantu and Apple. Located in Berlin but willing to relocate to Noida/Pune; has a 15-day notice period."
CAND_0075249,78,0.5502,"Product-oriented AI engineer with 6.2 YoE, having shipped search/retrieval systems at Zomato and upGrad. Currently based in Ahmedabad, Gujarat with a 45-day notice period; excellent engagement signals on the platform."
CAND_0098846,79,0.5485,"Product-oriented AI engineer with 7.6 YoE, having shipped search/retrieval systems at upGrad and Meesho. Located in Indore, Madhya Pradesh but willing to relocate to Noida/Pune; has a 45-day notice period."
CAND_0099806,80,0.5477,"Product-oriented AI engineer with 4.6 YoE, having shipped search/retrieval systems at Mad Street Den and upGrad. Located in Bhubaneswar, Odisha but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0099401,81,0.5467,"Product-oriented AI engineer with 7.7 YoE, having shipped search/retrieval systems at Dream11 and Microsoft. Located in Ahmedabad, Gujarat but willing to relocate to Noida/Pune; has a 90-day notice period. Note: notice period of 90 days requires buyout."
CAND_0094759,82,0.5455,"Product-oriented AI engineer with 8.6 YoE, having shipped search/retrieval systems at Meta and Apple. Located in Mumbai, Maharashtra but willing to relocate to Noida/Pune; has a 30-day notice period."
CAND_0005538,83,0.5436,"Product-oriented AI engineer with 5.9 YoE, having shipped search/retrieval systems at Adobe and Locobuzz. Currently based in Kolkata, West Bengal with a 90-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0008239,84,0.5436,"AI Engineer with 4.0 years of experience designing and optimizing Milvus, Elasticsearch, Weaviate at Apple. Located in Jaipur, Rajasthan but willing to relocate to Noida/Pune; has a 15-day notice period."
CAND_0087364,85,0.5435,"Product-oriented AI engineer with 4.9 YoE, having shipped search/retrieval systems at Glance and Rephrase.ai. Currently based in Gurgaon, Haryana with a 30-day notice period; excellent engagement signals on the platform."
CAND_0016163,86,0.5431,"Product-oriented AI engineer with 6.7 YoE, having shipped search/retrieval systems at Dream11 and Verloop.io. Currently based in Gurgaon, Haryana with a 120-day notice period; excellent engagement signals on the platform. Note: notice period of 90 days requires buyout."
CAND_0006567,87,0.5421,"Product-oriented AI engineer with 7.9 YoE, having shipped search/retrieval systems at Meta and Razorpay. Based locally in Noida, Uttar Pradesh with a 60-day notice period, matching the hybrid Cadence perfectly."
CAND_0052682,88,0.5414,"Product-oriented AI engineer with 6.6 YoE, having shipped search/retrieval systems at Aganitha and Salesforce. Currently based in Vizag, Andhra Pradesh with a 30-day notice period; excellent engagement signals on the platform."
CAND_0004402,89,0.5398,"Product-oriented AI engineer with 6.0 YoE, having shipped search/retrieval systems at Yellow.ai and Zomato. Currently based in Delhi, Delhi with a 60-day notice period; excellent engagement signals on the platform."
CAND_0076251,90,0.5398,"Product-oriented AI engineer with 7.6 YoE, having shipped search/retrieval systems at Haptik and CRED. Located in Bhubaneswar, Odisha but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0017960,91,0.5393,"Product-oriented AI engineer with 7.7 YoE, having shipped search/retrieval systems at Nykaa and Wysa. Located in Bangalore, Karnataka but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0010257,92,0.5388,"Product-oriented AI engineer with 6.5 YoE, having shipped search/retrieval systems at Google and PharmEasy. Based locally in Noida, Uttar Pradesh with a 120-day notice period, matching the hybrid Cadence perfectly. Note: notice period of 90 days requires buyout."
CAND_0022812,93,0.5379,"Product-oriented AI engineer with 4.5 YoE, having shipped search/retrieval systems at Dream11 and Razorpay. Located in Coimbatore, Tamil Nadu but willing to relocate to Noida/Pune; has a 60-day notice period."
CAND_0032515,94,0.5378,"Product-oriented AI engineer with 5.1 YoE, having shipped search/retrieval systems at PharmEasy and Razorpay. Currently based in Seattle with a 45-day notice period; excellent engagement signals on the platform."
CAND_0053695,95,0.5377,"Product-oriented AI engineer with 5.8 YoE, having shipped search/retrieval systems at Meesho and Niramai. Currently based in Bhubaneswar, Odisha with a 15-day notice period; excellent engagement signals on the platform."
CAND_0095528,96,0.5369,"Product-oriented AI engineer with 5.3 YoE, having shipped search/retrieval systems at Netflix and Adobe. Currently based in Indore, Madhya Pradesh with a 45-day notice period; excellent engagement signals on the platform."
CAND_0037566,97,0.5363,"Product-oriented AI engineer with 6.9 YoE, having shipped search/retrieval systems at LinkedIn and Paytm. Located in Bangalore, Karnataka but willing to relocate to Noida/Pune; has a 15-day notice period."
CAND_0079064,98,0.5361,"Product-oriented AI engineer with 5.2 YoE, having shipped search/retrieval systems at Niramai and Razorpay. Based locally in Noida, Uttar Pradesh with a 120-day notice period, matching the hybrid Cadence perfectly. Note: notice period of 90 days requires buyout."
CAND_0015528,99,0.5359,"Product-oriented AI engineer with 7.4 YoE, having shipped search/retrieval systems at Krutrim and Locobuzz. Currently based in Coimbatore, Tamil Nadu with a 30-day notice period; excellent engagement signals on the platform."
CAND_0092255,100,0.5355,"Product-oriented AI engineer with 5.2 YoE, having shipped search/retrieval systems at InMobi and upGrad. Based locally in Noida, Uttar Pradesh with a 60-day notice period, matching the hybrid Cadence perfectly."
